product_name,product_date,product_group,product_comments,product_votes,product_merchant
Słuchawki Bluetooth F9 TWS V5.0 Wodoodporne,"6 g, 27 min","['Słuchawki', 'Audio i HiFi', 'Elektronika']",5,-138,Allegro
Tania nie dla każdego Kawa Fort 250g Lewiatan,"6 g, 28 min","['Pojazdy', 'Artykuły spożywcze', 'Hity z marketów']",17,140,Lewiatan
-30% Gołdap Likwidacja sklepu CCC,"6 g, 30 min",['Moda'],6,169,CCC
Wyprzedaż w Tatuum. Rabaty nawet do -50%.,"6 g, 38 min",['Moda'],4,148,Tatuum
Monitor iiyama E2591HSU-B1 w morele,"6 g, 44 min","['Monitory', 'Komputery i tablety', 'Elektronika']",15,482,Morele.net
-30% na produkty Nivea w @Rossmann,Obowiązuje do 15/12/2019,['Zdrowie i uroda'],3,474,Rossmann
"promocja na benzynę, LPG, ropę - Carrefour Łódź ul. Kolumny",Obowiązuje do 15/12/2019,"['Motoryzacja', 'Hity z marketów']",16,444,Carrefour
Rabat 23% na bilety na 23 urodziny Sylwii Lipki,DZISIAJ,['Kultura i rozrywka'],23,-294,eBilet.pl
Gears Of War 4 (PC/Xbox One) Xbox Live Klucz GLOBAL,"6 g, 47 min","['Xbox One', 'Xbox', 'Konsole', 'Kultura i rozrywka', 'Komputery i tablety']",19,443,Eneba
Braun Silk-Épil 9 9/980 SkinSpa SensoSmart Wet and Dry Epilator,"6 g, 48 min","['Higiena i pielęgnacja', 'Zdrowie i uroda']",2,111,Amazon
Obudowa Modecom Oberon Pro Glass,"6 g, 52 min",['Gaming'],16,0,None
Xiaomi Redmi Note 8 Global 48MP 4GB 64GB 4000mAh Snapdragon 665,"6 g, 53 min","['Xiaomi Redmi Note 8', 'Smartfony Xiaomi', 'Smartfony', 'Xiaomi', 'Telefony i smartfony', 'Elektronika']",25,533,Banggood
Buty Męskie Adidas Tubular Shadow Originals (red/core black),"6 g, 53 min","['Buty adidas', 'Sneakers', 'Obuwie', 'Moda']",36,680,Sport-Shop
Blender Philips HR3556/00 za 280zł @ Amazon,DZISIAJ,"['Małe AGD do kuchni', 'Dom i mieszkanie', 'AGD']",11,470,Amazon
Stringi Black suprise oraz inne w promocji,"6 g, 56 min","['Erotyka', 'Odzież damska', 'Odzież', 'Moda']",35,-393,None
Masło ŁOSICKIE,"8 g, 5 min",['Artykuły spożywcze'],9,430,Intermarche
Traficar Dla Nowych 20zl,"8 g, 5 min","['Motoryzacja', 'Za darmo']",19,506,None
Sony Alpha A7 + Kit 28-70 (ILCE-7K),"8 g, 8 min","['Foto i kamery', 'Elektronika']",15,300,Media Markt
Ciasto DR OETKER 1 opak.,"8 g, 9 min","['Jedzenie', 'Artykuły spożywcze']",3,268,Intermarche
Whiskey Jack Daniel's 1litr - Carrefour,"8 g, 11 min","['Alkohole', 'Napoje', 'Artykuły spożywcze', 'Hity z marketów']",23,733,Carrefour
Cashback 15 zł od Goodie na zamówienia na Pizzaportal.pl,"8 g, 16 min",['Artykuły spożywcze'],7,-100,Goodie
Słuchawki XG12 TWS Bluetooth 5.0,"8 g, 20 min","['Słuchawki', 'Audio i HiFi', 'Elektronika']",6,78,AliExpress
Majonez WINIARY 1 szt.,Obowiązuje do 16/12/2019,['Artykuły spożywcze'],5,176,Intermarche
Shadow of the Tomb Raider Definitive Edition - dodatki Xbox One,Obowiązuje do 13/12/2019 10:00,"['Shadow of the Tomb Raider', 'Tomb Raider', 'Xbox One', 'Xbox', 'Gry wideo', 'Konsole', 'Gaming']",12,501,Microsoft
"Bateria kuchenna, gwarancja 5 lat.","8 g, 32 min",['Dom i mieszkanie'],44,511,Lidl
Crysis Warhead GOG,"8 g, 35 min",['Gaming'],2,157,GOG
Gra planszowa Odlotowy Wyścig,"8 g, 35 min","['Gry planszowe', 'Zabawki', 'Kultura i rozrywka']",15,0,None
Gra planszowa Santiago (PL) - TK Maxx Janki,"8 g, 37 min","['Gry planszowe', 'Zabawki', 'Rodzina i dzieci']",7,197,TK Maxx
Whisky Jameson 0.7L + 2x 50 ml (50ml IPA + 50 ml Stout); Carrefour Szczecin,"8 g, 38 min","['Alkohole', 'Napoje', 'Artykuły spożywcze', 'Hity z marketów']",16,551,Carrefour
Draw Slasher za darmo na Steam,Rozpoczyna się jutro,"['Gry PC', 'Gry wideo', 'Za darmo', 'Gaming']",19,0,None
Odkurzacz Xiaomi Robot Mija 1S z PL,"8 g, 47 min","['Xiaomi odkurzacze', 'Odkurzacze', 'Dom i mieszkanie', 'AGD', 'Xiaomi']",45,354,AliExpress
"Kuchnia dla dzieci Klein Miele za 219,60zł @ Pink or Blue",DZISIAJ,"['Dziecko', 'Zabawki', 'Rodzina i dzieci']",4,333,PINKorBLUE
Pamięć G.Skill Ripjaws V,"8 g, 49 min",['Elektronika'],12,-142,Morele.net
Obudowa KOLINK HORIZON RGB HORIZON RGB MT,"8 g, 52 min",['Elektronika'],17,175,Sferis
-50% na ofertę pizzerii NUTKA na pizzaportal - KRAKÓW,Obowiązuje do 13/12/2019,['Artykuły spożywcze'],6,169,Pizza Portal
Ariel Liquld tabs Color 2x35 sztuk @ Rossmann Piekary Śląskie,"9 g, 44 min",['Dom i mieszkanie'],4,125,Rossmann
Lśniąca stojąca ozdoba LED,"9 g, 49 min",['Elektronika'],8,0,None
"TV Box DEALDIG BOXD6 3/32GB kopia Beeelink GT1 Ultimate ($27,99)","9 g, 54 min","['TV i wideo', 'Elektronika']",19,166,GearBest
Zabawki -30% Carrefour - Błąd w regulaminie,Obowiązuje do 15/12/2019,"['Błąd cenowy', 'Rodzina i dzieci', 'Hity z marketów']",17,309,Carrefour
RZEŹNIK Polędwiczka wieprzowa,"10 g, 7 min",['Artykuły spożywcze'],3,0,None
"Playstation Plus na 12 miesięcy 36,23euro",Obowiązuje do 19/12/2019,"['PlayStation', 'Gaming']",35,1089,Eneba
"Pralko-suszarka LG F2J6HM8S - 7/4 kg , 1200 obr , SLIM",Obowiązuje do 18/12/2019,['Dom i mieszkanie'],28,158,Neonet
Głośnik Bluetooth JBL GO 2 Czarny,"10 g, 13 min","['Głośniki', 'Audio i HiFi', 'Elektronika']",81,1167,Media Markt
"10 naklejek (76mm x 76mm) za 3,85zł @StickerMule","10 g, 13 min",['Usługi i subskrypcje'],24,434,StickerMule
Nivea cellular Rossmann Auchan Osowa,"10 g, 14 min","['Zdrowie i uroda', 'Hity z marketów']",2,0,None
Konsola PS4 Pro 1 TB + Fortnite,DZISIAJ,"['Fortnite', 'PlayStation 4', 'Gry wideo', 'Konsole', 'Gaming']",72,1423,Media Expert
Mysz Dream Machines DM1 Pro (DM1 Pro) na morele.net,Obowiązuje do 15/12/2019,"['Akcesoria komputerowe', 'Elektronika']",7,173,Morele.net
LIVERGY® Sweter męski z motywem świątecznym,"10 g, 24 min",['Moda'],48,949,Lidl
"Adwentowa wyprzedaż na elnino. Zniżki do 70% na perfumy, żele itd.","10 g, 24 min","['Prezentowe inspiracje', 'Perfumy', 'Zdrowie i uroda']",3,143,Elnino-Parfum
Carrefour pastele olejowe,"10 g, 25 min","['Rodzina i dzieci', 'Hity z marketów']",0,395,Carrefour
Perfumy ADNAN B. Ambre Noir,"10 g, 25 min","['Prezentowe inspiracje', 'Perfumy', 'Zdrowie i uroda']",35,0,None
Ekspres Krups Evidence | EA893D,DZISIAJ,['Dom i mieszkanie'],24,368,iBOOD
Poduszka Reinderly,"10 g, 26 min",['Dom i mieszkanie'],9,121,Home and You
Lampa podłogowa OZCAN 170cm czarna i biała,"10 g, 27 min","['Oświetlenie', 'Akcesoria dla domu', 'Dom i mieszkanie']",20,-41,None
Hasbro Gestykul-Akcja - gra rodzinna,"10 g, 29 min",['Rodzina i dzieci'],1,0,None
Huawei Band 3e (czarny),DZISIAJ,"['Opaski fitness', 'Smartfony Huawei', 'Wearable', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",9,121,RTV Euro AGD
Podwójna ładowarka samochodowa USB KUULAA,"11 g, 7 min","['Ładowarki samochodowe', 'Motoryzacja', 'Akcesoria samochodowe']",12,111,AliExpress
"Syos, color toner Gdańsk CH Auchan Spacerowa 48",Obowiązuje do 31/12/2019,"['Artykuły biurowe', 'Zdrowie i uroda']",1,181,Auchan
Crucial Ballistix Sport LT CL15 ddr4 2x8GB 3000MHz,"11 g, 10 min","['DDR4', 'RAM', 'Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",21,394,x-kom
"REALME XT, 6/64GB, GLOBAL B20, NFC","11 g, 16 min",['Elektronika'],8,185,eBay
"Oneplus 7 PRO 8GB/256GB Amazon EUR 558,14","11 g, 16 min","['OnePlus 7 Pro', 'OnePlus 7', 'Smartfony OnePlus', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",88,1000,Amazon
Maszynki do golenia FLYCO Golarki męskie Golarki Golarki z możliwością ładowania,"11 g, 18 min","['Higiena i pielęgnacja', 'Zdrowie i uroda']",15,125,eBay
"Calvin Klein, IN2U Her, woda toaletowa, 150 ml","11 g, 23 min","['Calvin Klein', 'Prezentowe inspiracje', 'Perfumy', 'Zdrowie i uroda']",10,92,Empik
Crysis 3 PC/Origin,Obowiązuje do 14/12/2019,"['Gaming', 'Komputery i tablety']",10,142,Fanatical
Laptop HP 14 i3-8130/8GB/256/Win10 IPS,Obowiązuje do 13/12/2019 09:59,"['Monitory', 'Laptopy', 'Komputery i tablety', 'Elektronika']",11,318,x-kom
Wszystkie zabawki do 30% taniej w postaci e-bonu - Carrefour,"Zaktualizowano 11 g, 29 min temu (Opublikowano gru 7.)","['Rodzina i dzieci', 'Hity z marketów']",36,750,Carrefour
Cytryny kaufland,"Zaktualizowano 11 g, 31 min temu (Opublikowano lis 26.)","['Artykuły spożywcze', 'Hity z marketów']",9,773,Kaufland
Obiektyw Sony FE 24-70 mm f/2.8 GM (SEL2470GM),"11 g, 32 min",['Elektronika'],8,0,None
"Calvin Klein, Obsession Night, woda perfumowana, 100 ml","11 g, 32 min","['Calvin Klein', 'Zdrowie i uroda']",12,164,Empik
Otwarcie Action Galeria Rzeszów.,DZISIAJ,['Dom i mieszkanie'],11,162,Action
Xiaomi Mi Note 10 (CC9 Pro) 6/128GB - Polski Magazyn FAST-08,"11 g, 55 min","['Xiaomi Mi Note 10', 'Smartfony Xiaomi', 'Smartfony', 'Xiaomi', 'Telefony i smartfony', 'Elektronika']",62,1044,GearBest
Helly Hansen Kurtka męska Loke Jacket Grey Fog r. L,"11 g, 57 min","['Odzież męska', 'Kurtki', 'Odzież', 'Moda']",9,0,None
"Kingston SSD SA400 SATA3 2.5"" 480GB 7mm SA400S37/480G","11 g, 59 min","['SSD', 'Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",7,0,None
Gosh Catchy Eyes Drama HEBE,"12 g, 1 min",['Zdrowie i uroda'],5,157,Hebe
"Davidoff Cool Water zestaw: woda toaletowa damska, 30 ml + balsam do ciała, 75 ml","12 g, 4 min","['Prezentowe inspiracje', 'Perfumy', 'Pielęgnacja dzieci', 'Zdrowie i uroda']",10,66,Hebe
NIKE VAPORMAX,"13 g, 6 min","['Buty Nike', 'Obuwie', 'Moda']",19,323,Worldbox
Philips Azur Performer Plus GC4527/00 żelazko parowe,"13 g, 7 min","['Żelazka', 'Dom i mieszkanie', 'AGD']",17,801,Amazon
Yerba Mate TARAGUI + ENERGIA 500g,"13 g, 14 min",['Artykuły spożywcze'],29,0,None
Mattel Hot Wheels Action Kolosalna Kraksa (GFH87),"13 g, 15 min","['Zabawki', 'Rodzina i dzieci']",3,172,Amazon
Darmowe publikacje z EU,"Zaktualizowano 13 g, 31 min temu (Opublikowano lis 6.)","['Za darmo', 'Kultura i rozrywka']",27,1015,None
Grejpfruty czerwone. Kaufland,"Zaktualizowano 13 g, 32 min temu (Opublikowano gru 10.)","['Artykuły spożywcze', 'Hity z marketów']",2,673,Kaufland
Xiaomi mi9t pro 6/128 gearbest,"Zaktualizowano 13 g, 32 min temu (Opublikowano paź 17.)","['Xiaomi', 'Elektronika']",532,2699,GearBest
CABLETIME rodzaj usb C,"13 g, 34 min",['Elektronika'],39,585,AliExpress
Play dla WOŚP,"14 g, 1 min","['Usługi i subskrypcje', 'Oferty komórkowe']",85,954,Play
Xiaomi Redmi S2 32 GB (złoty),"14 g, 15 min","['Xiaomi', 'Elektronika']",3,-173,RTV Euro AGD
"Sprzedaż Wizz Air: 20% zniżki na loty do / z Wielkiej Brytanii, Węgier i Polski!",DZISIAJ,['Podróże'],9,532,Wizzair
Novation Launchpad mk II,"14 g, 59 min",['Elektronika'],14,505,Amazon
1/28 27MHz RC kaskaderów samochód RC samochód wysokiej prędkości,"15 g, 6 min","['Samochody RC', 'Zabawki ogrodowe', 'Pojazdy', 'Zabawki', 'Rodzina i dzieci']",28,0,None
Choinka LED,"17 g, 45 min","['Choinki', 'Dekoracje świąteczne', 'Akcesoria dla domu', 'Dom i mieszkanie']",20,919,JYSK
Zegarek TIMEX Allied TW2R46470,"19 g, 24 min","['Zegarki', 'Akcesoria modowe', 'Moda']",9,569,Empik
"Monitor LED IPS 23,8"" FHD Acer v246hylbi","19 g, 39 min","['Monitory', 'Komputery i tablety', 'Elektronika']",23,0,None
Mikrofon Trust GXT 232 Mantis,"19 g, 50 min","['Audio i HiFi', 'Elektronika']",5,0,None
"Myjka, ściągaczka do okien KARCHER WV 50 Plus 1.633-117.0, odbiór 0 zł, kurier 0zł","19 g, 55 min","['Narzędzia', 'Myjki wysokociśnieniowe', 'Pielęgnacja ogrodu', 'Dom i mieszkanie', 'Ogród']",27,0,None
Mysz SteelSeries Rival 105,"20 g, 28 min","['Akcesoria komputerowe', 'Akcesoria dla graczy', 'Gaming']",49,1126,x-kom
12% rabatu na 12 grudnia @neonet,DZISIAJ,['Elektronika'],17,371,Neonet
Grapefruit różowe Biedronka 50% taniej,Obowiązuje do 15/12/2019,['Artykuły spożywcze'],0,571,Biedronka
Projekt Gaja - gra planszowa,"22 g, 1 min","['Gry planszowe', 'Zabawki', 'Kultura i rozrywka']",10,0,None
Ombre zniżka 20%,Obowiązuje do 31/12/2019,['Moda'],5,121,Ombre
Terraformacja Marsa Auchan Rumia,"22 g, 17 min","['Rodzina i dzieci', 'Hity z marketów']",17,658,Auchan
Odkurzacz ILIFE V3s Pro Robot $94.99,"22 g, 17 min","['Inteligentny dom', 'Odkurzacze', 'Dom i mieszkanie', 'AGD']",18,347,AliExpress
Pralka LG Vivace F2WN4S7S1,Obowiązuje do 17/12/2019,"['Pralki', 'Dom i mieszkanie', 'AGD']",21,194,Ole Ole
Kod rabatowy WITTCHEN (cała kolekcja),Obowiązuje do 18/12/2019,"['Bagaż', 'Akcesoria modowe', 'Moda']",2,146,Wittchen
"Piwo Grimbergen Blonde, Double Ambree 0,33L - Żabka z apką",Obowiązuje do 07/01/2020,"['Piwo', 'Napoje', 'Artykuły spożywcze', 'Hity z marketów']",22,576,Żabka
Nikon D3500 + 18-55 vr,"22 g, 38 min",['Elektronika'],18,0,None
Galaxy s10 512GB.,"22 g, 39 min","['Samsung Galaxy S10', 'Smartfony Samsunga', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",26,372,Sferis
"Garmin Dash Cam 54 2.5K/2""/122","22 g, 48 min","['Garmin', 'Nawigacja', 'Akcesoria samochodowe', 'Elektronika']",23,497,x-kom
"BALLANTINES 12YO BLENDED WHISKY 0,7L + 2 SZKLANKI -SELGROS",Obowiązuje do 24/12/2019,"['Alkohole', 'Napoje', 'Artykuły spożywcze']",19,1093,Selgros
Piwa Raduga (wybrane rodzaje) 3 w cenie 2 (2.94zł za sztukę!) Makro.,Obowiązuje do 31/12/2019,['Artykuły spożywcze'],16,497,Makro
Słuchawki nauszne Sony WH-XB900N (tylko czarne),"23 g, 12 min","['Słuchawki', 'Audio i HiFi', 'Elektronika']",25,0,None
"Nowa Motorola One Action 4/128 (biały). Smartfon z dystrybucji PL, możliwy zwrot 1,5% od VisaOferty i odbiór. Android One i kamerka akcji !","23 g, 25 min","['Oprogramowanie', 'Systemy operacyjne', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",27,0,None
Spyro: Reignited Trilogy PL (Xbox One) na 3kropki.pl,"23 g, 33 min","['Xbox One', 'Xbox', 'Konsole', 'Gaming']",10,454,3Kropki
Mionix Castor za 69zł (tylko w aplikacji mobilnej) wyprzedaż resztek z BF!!!,"23 g, 37 min",['Gaming'],53,675,x-kom
Dead Rising 4 (Xbox One),"23 g, 38 min","['Xbox', 'Gaming']",8,452,RTV Euro AGD
Odkurzacz Xiaomi Roborock S50/S55 z wysyłką z Polski za $329.60,Obowiązuje do 13/12/2019,"['Xiaomi odkurzacze', 'Inteligentny dom', 'Odkurzacze', 'Dom i mieszkanie', 'AGD', 'Xiaomi']",64,563,AliExpress
Pad Sony DualShock 4 v2 (niebieski moro),"23 g, 42 min",['Gaming'],8,0,None
"Nike Air Max Prime na wyprzedaży - różne wzory, różne rozmiary",gru 11.,"['Buty Nike', 'Sneakers', 'Obuwie', 'Moda']",25,329,Teamsports
Masło mleczna Dolina po 3.33zl. Kup 3 i zapłać mniej z kartą moja biedronka.,gru 11.,['Artykuły spożywcze'],0,0,None
Najnowszy głośnik firmy Tronsmart T6 MAX w promocji 12.12,gru 11.,"['Głośniki', 'Audio i HiFi', 'Elektronika']",14,-75,AliExpress
30٪ rabatu na wszystko w Fotobum,Obowiązuje do 18/12/2019,['Dom i mieszkanie'],0,186,None
Piwo Żywiec 4pack,gru 11.,"['Piwo', 'Napoje', 'Artykuły spożywcze']",15,0,None
Obudowa Corsair icue 220t,gru 11.,['Gaming'],19,0,None
Szczoteczka oclean z1 i końcówki PW01,gru 11.,"['Szczoteczki', 'Higiena jamy ustnej', 'Higiena i pielęgnacja', 'Elektronika']",12,127,None
Banany w biedronce po 2.49 z kartą moja biedronka (limit 3kg na kartę),Obowiązuje do 15/12/2019,"['Oferty komórkowe', 'Jedzenie', 'Artykuły spożywcze', 'Hity z marketów']",24,1268,Biedronka
Dauntless za darmo Switch,gru 11.,"['Za darmo', 'Gaming']",7,506,None
Nikon D3500 + AF-P DX 18–55 VR,gru 11.,['Elektronika'],28,0,None
